model_key,endpoint,benchmark,metric,value,value_pct,total,errors,missing_raw,source_run
gpt-5.4,api,aime,acc_overall,0.933333,93.333,30,0,0,formal_main_v1
gpt-5.4,api,gpqa,acc_overall,0.89,89.0,100,0,0,formal_main_v1
gpt-5.4,api,medqa,acc_overall,0.95,95.0,100,0,0,formal_main_v1
gpt-5.4,api,legal,acc_overall,0.87,87.0,100,0,0,formal_main_v1
gpt-5.4,api,mmlu_pro,acc_overall,0.89,89.0,100,0,0,formal_main_v1
gpt-5.4,app,aime,acc_overall,0.666667,66.667,30,0,0,formal_main_v1
gpt-5.4,app,gpqa,acc_overall,0.81,81.0,100,0,0,formal_main_v1
gpt-5.4,app,medqa,acc_overall,0.96,96.0,100,0,0,formal_main_v1
gpt-5.4,app,legal,acc_overall,0.87,87.0,100,0,0,formal_main_v1
gpt-5.4,app,mmlu_pro,acc_overall,0.88,88.0,100,0,0,formal_main_v1
gpt-5.4,shadow,aime,acc_overall,0.866667,86.667,30,0,0,formal_shadow_rerun_v1
gpt-5.4,shadow,gpqa,acc_overall,0.84,84.0,100,0,0,formal_shadow_rerun_v1
gpt-5.4,shadow,medqa,acc_overall,0.96,96.0,100,0,0,formal_shadow_rerun_v1
gpt-5.4,shadow,legal,acc_overall,0.88,88.0,100,0,0,formal_shadow_rerun_v1
gpt-5.4,shadow,mmlu_pro,acc_overall,0.89,89.0,100,0,0,formal_shadow_rerun_v1
claude-sonnet-4-6,api,aime,acc_overall,0.6,60.0,30,0,0,formal_main_v1
claude-sonnet-4-6,api,gpqa,acc_overall,0.68,68.0,100,0,0,formal_main_v1
claude-sonnet-4-6,api,medqa,acc_overall,0.88,88.0,100,0,0,formal_main_v1
claude-sonnet-4-6,api,legal,acc_overall,0.78,78.0,100,0,0,formal_main_v1
claude-sonnet-4-6,api,mmlu_pro,acc_overall,0.87,87.0,100,0,0,formal_main_v1
claude-sonnet-4-6,app,aime,acc_overall,0.833333,83.333,30,0,0,formal_claude_app_max20_v1
claude-sonnet-4-6,app,gpqa,acc_overall,0.56,56.0,100,0,0,formal_claude_app_max20_v1
claude-sonnet-4-6,app,medqa,acc_overall,0.85,85.0,100,0,0,formal_claude_app_max20_v1
claude-sonnet-4-6,app,legal,acc_overall,0.82,82.0,100,0,0,formal_claude_app_max20_v1
claude-sonnet-4-6,app,mmlu_pro,acc_overall,0.81,81.0,100,0,0,formal_claude_app_max20_v1
claude-sonnet-4-6,shadow,aime,acc_overall,0.766667,76.667,30,0,0,formal_shadow_rerun_v1
claude-sonnet-4-6,shadow,gpqa,acc_overall,0.67,67.0,100,0,0,formal_shadow_rerun_v1
claude-sonnet-4-6,shadow,medqa,acc_overall,0.91,91.0,100,0,0,formal_shadow_rerun_v1
claude-sonnet-4-6,shadow,legal,acc_overall,0.82,82.0,100,0,0,formal_shadow_rerun_v1
claude-sonnet-4-6,shadow,mmlu_pro,acc_overall,0.88,88.0,100,0,0,formal_shadow_rerun_v1
gemini-3-flash,api,aime,acc_overall,0.966667,96.667,30,0,0,formal_gemini_api_vertex_v1
gemini-3-flash,api,gpqa,acc_overall,0.9,90.0,100,0,0,formal_gemini_api_vertex_v1
gemini-3-flash,api,medqa,acc_overall,0.95,95.0,100,0,0,formal_gemini_api_vertex_v1
gemini-3-flash,api,legal,acc_overall,0.87,87.0,100,0,0,formal_gemini_api_vertex_v1
gemini-3-flash,api,mmlu_pro,acc_overall,0.88,88.0,100,0,0,formal_gemini_api_vertex_v1
gemini-3-flash,app,aime,acc_overall,0.966667,96.667,30,0,0,formal_main_v1
gemini-3-flash,app,gpqa,acc_overall,0.89,89.0,100,0,0,formal_main_v1
gemini-3-flash,app,medqa,acc_overall,0.93,93.0,100,0,0,formal_main_v1
gemini-3-flash,app,legal,acc_overall,0.87,87.0,100,0,0,formal_main_v1
gemini-3-flash,app,mmlu_pro,acc_overall,0.89,89.0,100,0,0,formal_main_v1
gemini-3-flash,shadow,aime,acc_overall,0.0,0.0,30,0,0,formal_shadow_rerun_v1
gemini-3-flash,shadow,gpqa,acc_overall,0.71,71.0,100,0,0,formal_shadow_rerun_v1
gemini-3-flash,shadow,medqa,acc_overall,0.91,91.0,100,0,0,formal_shadow_rerun_v1
gemini-3-flash,shadow,legal,acc_overall,0.85,85.0,100,0,0,formal_shadow_rerun_v1
gemini-3-flash,shadow,mmlu_pro,acc_overall,0.85,85.0,100,0,0,formal_shadow_rerun_v1
